Age,AskPrice,Brand_std,Fuel_std,Owner_std,Transmission_std,Year,kmDriven,km_per_year
24,195000.0,Honda,Petrol,Second,Manual,2001,98000.0,4000.0
16,375000.0,Toyota,Diesel,Second,Manual,2009,190000.0,11515.151515151516
15,184999.0,Volkswagen,Diesel,First,Manual,2010,77246.0,4983.612903225807
8,565000.0,Maruti Suzuki,Diesel,Second,Manual,2017,83500.0,9823.529411764706
6,685000.0,Maruti Suzuki,Petrol,First,Automatic,2019,45000.0,6923.076923076923
11,1350000.0,Bmw,Diesel,First,Automatic,2014,83000.0,7217.391304347826
11,1025000.0,Toyota,Diesel,Second,Manual,2014,168000.0,14608.695652173914
6,5950000.0,Bmw,Diesel,Second,Automatic,2019,25000.0,3846.153846153846
5,622000.0,Maruti Suzuki,Petrol,Second,Manual,2020,33759.0,6138.0
8,649000.0,Ford,Petrol,Second,Manual,2017,69713.0,8201.529411764706
7,395000.0,Maruti Suzuki,Petrol,First,Automatic,2018,70000.0,9333.333333333334
4,2900000.0,Kia,Diesel,First,Automatic,2021,25000.0,5555.555555555556
13,240000.0,Maruti Suzuki,Petrol,Second,Manual,2012,72700.0,5385.185185185185
18,201350.0,Toyota,Petrol,Second,Automatic,2007,121931.0,6590.864864864865
7,330000.0,Hyundai,Diesel,Second,Manual,2018,130000.0,17333.333333333332
5,1045000.0,Kia,Diesel,First,Manual,2020,68000.0,12363.636363636364
9,785000.0,Maruti Suzuki,Diesel,Second,Manual,2016,65000.0,6842.105263157895
8,555000.0,Maruti Suzuki,Petrol,Second,Automatic,2017,59000.0,6941.176470588235
10,1500000.0,Bmw,Diesel,Second,Automatic,2015,61000.0,5809.523809523809
6,2399000.0,Ford,Diesel,Second,Automatic,2019,77000.0,11846.153846153846
8,1325000.0,Toyota,Diesel,First,Automatic,2017,107000.0,12588.235294117647
15,295000.0,Honda,Petrol,First,Manual,2010,99000.0,6387.096774193548
10,1050000.0,Audi,Diesel,Second,Automatic,2015,42000.0,4000.0
6,355000.0,Renault,Petrol,Second,Automatic,2019,48073.0,7395.846153846154
6,1250000.0,Mg,Petrol,First,Automatic,2019,32618.0,5018.153846153846
13,315000.0,Maruti Suzuki,Diesel,Second,Manual,2012,70000.0,5185.185185185185
11,345000.0,Maruti Suzuki,Petrol,Second,Automatic,2014,51000.0,4434.782608695652
7,845000.0,Maruti Suzuki,Diesel,First,Manual,2018,137000.0,18266.666666666668
2,4195000.0,Toyota,Diesel,First,Automatic,2023,1996.0,798.4
8,1950000.0,Toyota,Diesel,Second,Manual,2017,90000.0,10588.235294117647
14,490000.0,Toyota,Diesel,Second,Manual,2011,84000.0,5793.103448275862
7,2950000.0,Volvo,Diesel,First,Automatic,2018,53000.0,7066.666666666667
